self_employed,sought_treatment,employer_benefits,employer_takes_seriously,fear_negative_consequences,work_interference,remote_work,gender,age,country,year,productivity_affected,has_mental_health_disorder,tech_role
,Yes,Yes,Yes,No,Often,No,Female,37.0,United States,2014,,,
,No,Don't Know,Don't Know,Maybe,Rarely,No,Male,44.0,United States,2014,,,
,No,No,No,No,Rarely,No,Male,32.0,Canada,2014,,,
,Yes,No,No,Yes,Often,No,Male,31.0,United Kingdom,2014,,,
,No,Yes,Don't Know,No,Never,Yes,Male,31.0,United States,2014,,,
,No,Yes,Don't Know,No,Sometimes,No,Male,33.0,United States,2014,,,
,Yes,No,Don't Know,Maybe,Sometimes,Yes,Female,35.0,United States,2014,,,
,No,No,No,No,Never,Yes,Male,39.0,Canada,2014,,,
,Yes,Yes,No,Maybe,Sometimes,No,Female,42.0,United States,2014,,,
,No,Don't Know,Yes,No,Never,No,Male,23.0,Canada,2014,,,
,Yes,Don't Know,Don't Know,No,Sometimes,Yes,Male,31.0,United States,2014,,,
,No,Don't Know,Don't Know,No,Never,Yes,Male,29.0,Bulgaria,2014,,,
,Yes,Yes,No,Yes,Sometimes,No,Female,42.0,United States,2014,,,
,No,Don't Know,Don't Know,No,Never,No,Male,36.0,United States,2014,,,
,No,Don't Know,Yes,No,Never,No,Male,27.0,Canada,2014,,,
,Yes,Yes,Don't Know,No,Rarely,No,Female,29.0,United States,2014,,,
,Yes,Don't Know,No,Maybe,Sometimes,Yes,Male,23.0,United Kingdom,2014,,,
,Yes,Yes,No,Maybe,Sometimes,No,Male,32.0,United States,2014,,,
Yes,No,Yes,Yes,No,Sometimes,Yes,Male,46.0,United States,2014,,,
Yes,No,No,Don't Know,No,,Yes,Male,36.0,France,2014,,,
No,Yes,Yes,No,Maybe,Sometimes,No,Male,29.0,United States,2014,,,
Yes,No,No,Yes,No,Never,Yes,Male,31.0,United States,2014,,,
No,Yes,Yes,No,Maybe,Often,Yes,Male,46.0,United States,2014,,,
No,Yes,Don't Know,Don't Know,Maybe,Never,No,Male,41.0,United States,2014,,,
No,Yes,Yes,Don't Know,No,Rarely,No,Male,33.0,United States,2014,,,
No,Yes,Yes,No,Yes,Sometimes,No,Male,35.0,United States,2014,,,
No,No,Don't Know,Don't Know,Maybe,,No,Male,33.0,United States,2014,,,
No,Yes,Yes,Yes,No,Rarely,Yes,Female,35.0,United States,2014,,,
No,Yes,Don't Know,No,No,Sometimes,Yes,Male,34.0,United States,2014,,,
No,No,No,No,Yes,Sometimes,No,Male,37.0,United Kingdom,2014,,,
No,No,No,No,Yes,Never,Yes,Male,32.0,United Kingdom,2014,,,
Yes,No,No,No,Yes,Rarely,Yes,Male,31.0,United States,2014,,,
No,Yes,Don't Know,Don't Know,Maybe,Sometimes,Yes,Male,30.0,United Kingdom,2014,,,
No,Yes,Yes,Don't Know,Maybe,Sometimes,Yes,Male,42.0,United States,2014,,,
No,Yes,Yes,Yes,Maybe,Sometimes,No,Female,40.0,United States,2014,,,
No,Yes,No,Don't Know,No,Rarely,No,Male,27.0,United States,2014,,,
No,No,No,Don't Know,Yes,Rarely,No,Male,29.0,Canada,2014,,,
No,No,No,No,Maybe,,No,Male,38.0,Portugal,2014,,,
No,No,Yes,Don't Know,No,,No,Male,50.0,United States,2014,,,
No,Yes,Yes,Yes,No,Rarely,Yes,Male,35.0,United States,2014,,,
No,Yes,No,No,Maybe,Sometimes,No,Male,24.0,United Kingdom,2014,,,
No,No,Yes,Don't Know,Yes,,Yes,Male,35.0,United States,2014,,,
No,Yes,No,Yes,Maybe,Sometimes,No,Male,27.0,Canada,2014,,,
No,No,No,No,Yes,Often,No,Male,18.0,Netherlands,2014,,,
No,Yes,Don't Know,Don't Know,No,Sometimes,No,Male,30.0,United States,2014,,,
No,Yes,Yes,Yes,No,Sometimes,No,Female,38.0,United States,2014,,,
No,No,Don't Know,Don't Know,No,,No,Male,28.0,United Kingdom,2014,,,
No,No,No,Don't Know,No,,No,Male,34.0,United States,2014,,,
Yes,No,No,Yes,No,Sometimes,No,Male,26.0,Canada,2014,,,
No,Yes,Yes,Don't Know,Maybe,Rarely,No,Male,30.0,United States,2014,,,
No,Yes,No,Don't Know,Maybe,Often,No,Male,22.0,United States,2014,,,
No,No,Don't Know,Don't Know,No,,Yes,Male,33.0,United States,2014,,,
No,No,Don't Know,Don't Know,Maybe,,Yes,Male,31.0,United States,2014,,,
No,No,Don't Know,Don't Know,Maybe,Never,Yes,Male,32.0,United States,2014,,,
No,No,No,Don't Know,No,,No,Male,28.0,Switzerland,2014,,,
No,Yes,Yes,Don't Know,Maybe,Rarely,No,Other,27.0,United States,2014,,,
No,No,Don't Know,Yes,No,,Yes,Other,32.0,United States,2014,,,
No,Yes,Don't Know,No,No,Sometimes,Yes,Male,24.0,United States,2014,,,
No,No,No,Don't Know,No,,No,Male,26.0,United States,2014,,,
No,Yes,Don't Know,Don't Know,Yes,Often,Yes,Male,33.0,Canada,2014,,,
No,Yes,Yes,Don't Know,Yes,Sometimes,No,Male,44.0,United States,2014,,,
No,Yes,Don't Know,Yes,No,Sometimes,Yes,Female,26.0,Poland,2014,,,
No,No,Yes,Yes,No,Never,No,Male,27.0,United Kingdom,2014,,,
